Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
Before;Otu000475;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;1.117636731;0.243545007;126;4.589035694;1.06E-05;0.00034612;3.460773664;Increased
M12;Otu000475;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;1.078059796;0.277388833;126;3.88645709;0.000163529;0.002979537;2.525851174;Increased
M3;Otu000475;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;0.762531196;0.25859745;126;2.948718931;0.003804287;0.029997739;1.522911479;Increased
M6;Otu000475;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;0.919907389;0.264951733;126;3.471981018;0.000708396;0.009209143;2.035780799;Increased
Before;Otu000476;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;1.544760934;0.563841815;126;2.739706229;0.007042158;0.045163709;1.345210398;Increased
M12;Otu000476;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;3.140478089;0.56084515;126;5.599545775;1.28E-07;9.88E-06;5.005384174;Increased
M6;Otu000476;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;2.690584782;0.551408725;126;4.879474446;3.15E-06;0.000121203;3.916486259;Increased
Before;Otu000491;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;1.025864108;0.371548734;126;2.761048592;0.006622879;0.043268127;1.363831902;Increased
Before;Otu000492;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;1.556858189;0.477622615;126;3.259598981;0.001434759;0.0149952;1.824047735;Increased
M12;Otu000492;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;1.697683061;0.533099181;126;3.184553875;0.001827168;0.017148642;1.765770256;Increased
M3;Otu000492;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;2.432196242;0.458032661;126;5.310093466;4.79E-07;2.56E-05;4.59176268;Increased
M6;Otu000492;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;1.596188477;0.486442817;126;3.281348642;0.001336666;0.014287473;1.845044578;Increased
M12;Otu000498;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;2.331883069;0.457961582;126;5.091874861;1.26E-06;5.91E-05;4.228614055;Increased
M6;Otu000498;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;2.354740584;0.400998311;126;5.872195763;3.59E-08;3.83E-06;5.416520516;Increased
