Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
M6;Otu000113;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;-0.949242935;0.313548486;125;-3.02741993;0.002996277;0.024100487;1.617974186;Decreased
M6;Otu000116;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;-1.12921189;0.393897359;125;-2.866766851;0.00486791;0.034025956;1.468189661;Decreased
Non Colonized;Otu000120;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Sutterella;-0.979856937;0.261334172;125;-3.749440538;0.000269725;0.004105627;2.38662048;Decreased
M3;Otu000126;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;-1.720033119;0.412997262;125;-4.164756713;5.76E-05;0.001237796;2.907350932;Decreased
M3;Otu000140;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;-1.284402942;0.443105033;125;-2.898642189;0.004427731;0.032148166;1.492843795;Decreased
M6;Otu000140;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;-3.753408734;0.545520421;125;-6.88041839;2.55E-10;2.79E-08;7.554001209;Decreased
M12;Otu000145;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-1.38705378;0.51472441;125;-2.694750343;0.008013139;0.049340695;1.30679474;Decreased
M12;Otu000150;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;-1.88974356;0.474890119;125;-3.97932803;0.000116376;0.002203804;2.656826955;Decreased
M3;Otu000150;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;-1.213962958;0.38083753;125;-3.187613778;0.001812586;0.017230311;1.76370689;Decreased
M3;Otu000154;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-1.892952993;0.375492261;125;-5.041257009;1.58E-06;6.80E-05;4.167497786;Decreased
Before;Otu000174;Bacteroidetes;unclassified;unclassified;unclassified;unclassified;-1.246559272;0.408777344;125;-3.049482291;0.002798967;0.023053133;1.637270043;Decreased
M3;Otu000174;Bacteroidetes;unclassified;unclassified;unclassified;unclassified;-1.179564733;0.407234912;125;-2.896521636;0.004455841;0.032148166;1.492843795;Decreased
M6;Otu000185;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-1.153237729;0.404257082;125;-2.85273352;0.005074118;0.034866436;1.45759244;Decreased
M12;Otu000188;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-2.44618704;0.680677444;125;-3.593753638;0.000467288;0.006243492;2.204572447;Decreased
M3;Otu000188;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-2.045490831;0.543378981;125;-3.764390788;0.000255644;0.004018451;2.395941322;Decreased
M6;Otu000188;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-1.846584411;0.555656802;125;-3.3232463;0.00116749;0.012085735;1.917726945;Decreased
Before;Otu000191;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;-1.506641391;0.350149269;125;-4.302854594;3.37E-05;0.00083263;3.079547823;Decreased
M12;Otu000191;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;-1.213956441;0.385925549;125;-3.145571582;0.002071872;0.018902732;1.723475425;Decreased
M6;Otu000191;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;-1.143753941;0.33500202;125;-3.414170286;0.00086305;0.009931268;2.002995313;Decreased
